"endemic_status","question","n"
"Endemic","People complained/asked for solutions",23
"In-progress","People complained/asked for solutions",3
"Rabies-free","People complained/asked for solutions",1
"Endemic","Abandonment due to fear of COVID-19",20
"In-progress","Abandonment due to fear of COVID-19",3
"Rabies-free","Abandonment due to fear of COVID-19",1
"Endemic","Abandonment due to financial constraints",19
"In-progress","Abandonment due to financial constraints",4
"Rabies-free","Abandonment due to financial constraints",1
"Endemic","More people fed them",17
"In-progress","More people fed them",3
"Rabies-free","More people fed them",0
"Endemic","Abandonment due to other reasons",1
"In-progress","Abandonment due to other reasons",3
"Rabies-free","Abandonment due to other reasons",0
"Endemic","Official workers removed/killed them",4
"In-progress","Official workers removed/killed them",0
"Rabies-free","Official workers removed/killed them",0
"Endemic","People removed/killed them",4
"In-progress","People removed/killed them",0
"Rabies-free","People removed/killed them",0
