"endemic_status","result","n"
"Endemic","Disruption",29
"Endemic","No disruption",1
"Endemic","Not available",2
"In-progress","Disruption",6
"In-progress","No disruption",1
"In-progress","Not available",2
"Rabies-free","Disruption",3
"Rabies-free","Not available",4
