"endemic_status","result","n"
"Endemic","Disruption",25
"Endemic","No disruption",2
"Endemic","Not available",5
"In-progress","Disruption",7
"In-progress","Not available",2
"Rabies-free","Disruption",2
"Rabies-free","Not available",5
